STN,STN_NM,TM,SUM_RN,AVG_TA,MIN_TA,MAX_TA,AVG_RHM,AVG_PA,AVG_PV,AVG_WS,SUM_SS,SUM_SR
105,Gangneung,2001-01-01,77.7,0.5,-3.6,6.3,58.2,998.5,15.4,2.27,127.6,192.9
105,Gangneung,2001-02-01,63.0,5.1,0.4,10.6,60.6,1000.0,17.8,2.02,142.0,217.0
105,Gangneung,2001-03-01,13.0,6.0,1.6,11.9,53.1,1002.0,18.8,2.55,138.4,270.0
105,Gangneung,2001-04-01,107.2,12.4,8.1,17.3,55.2,1007.6,20.5,2.06,129.4,349.0
105,Gangneung,2001-05-01,93.0,18.1,13.8,23.9,55.0,1003.7,25.2,2.49,197.0,404.1
105,Gangneung,2001-06-01,124.6,22.1,17.6,27.7,57.4,1000.1,25.4,3.0,188.4,548.1
105,Gangneung,2001-07-01,103.1,22.0,17.9,27.5,67.5,1005.8,25.2,2.22,253.4,544.4
105,Gangneung,2001-08-01,152.1,20.3,15.8,24.8,71.5,1005.5,23.8,2.46,255.6,561.4
105,Gangneung,2001-09-01,225.5,17.4,13.3,21.9,71.2,1004.9,22.3,2.4,244.0,582.7
105,Gangneung,2001-10-01,220.1,12.9,8.1,17.8,71.1,997.3,18.9,2.0,220.0,435.7
105,Gangneung,2001-11-01,148.8,9.4,5.1,15.1,72.1,1002.4,18.1,2.26,201.0,296.4
105,Gangneung,2001-12-01,129.7,5.0,-0.5,9.7,71.3,1001.4,17.2,2.41,190.0,295.6
105,Gangneung,2002-01-01,31.2,3.7,-1.2,8.3,67.9,1005.0,18.3,1.92,112.0,188.5
105,Gangneung,2002-02-01,18.6,1.8,-1.4,7.1,53.9,999.6,16.0,2.74,169.9,394.8
105,Gangneung,2002-03-01,34.0,6.2,2.4,11.4,51.8,1001.8,16.8,2.34,154.7,253.5
105,Gangneung,2002-04-01,26.7,11.7,6.5,16.3,52.8,1010.3,20.4,2.79,137.5,238.9
105,Gangneung,2002-05-01,33.2,16.8,11.7,21.8,57.5,999.3,24.3,2.55,176.1,397.6
105,Gangneung,2002-06-01,91.6,22.8,18.0,27.4,54.5,1003.3,28.1,2.46,207.0,507.1
105,Gangneung,2002-07-01,207.7,22.9,19.1,28.4,66.5,1008.7,26.5,1.91,197.8,654.9
105,Gangneung,2002-08-01,257.1,21.6,16.7,26.4,67.1,999.1,26.2,2.24,239.9,570.2
105,Gangneung,2002-09-01,221.3,20.6,15.4,25.3,68.2,1002.5,23.4,1.91,210.0,535.8
105,Gangneung,2002-10-01,228.8,11.2,7.1,15.9,78.7,1001.3,19.4,2.8,223.5,570.2
105,Gangneung,2002-11-01,156.6,7.3,2.3,11.9,76.0,999.1,18.1,2.49,242.9,512.6
105,Gangneung,2002-12-01,84.6,3.7,-1.2,8.9,72.1,1008.4,15.3,2.14,96.3,300.2
105,Gangneung,2003-01-01,29.8,2.1,-2.2,7.2,64.7,996.6,13.4,3.25,95.9,178.3
105,Gangneung,2003-02-01,96.5,9.4,4.3,14.0,60.2,1010.2,17.5,2.3,139.4,246.1
105,Gangneung,2003-03-01,6.3,8.1,4.2,12.8,53.7,1004.3,17.6,2.59,153.4,253.4
105,Gangneung,2003-04-01,44.5,12.3,7.9,18.1,54.1,1002.7,24.2,3.03,159.6,264.2
105,Gangneung,2003-05-01,28.1,20.3,14.6,24.9,48.5,1006.5,25.1,1.96,168.2,415.8
105,Gangneung,2003-06-01,116.3,21.5,16.6,26.2,59.5,1008.6,21.2,2.31,214.4,507.8
105,Gangneung,2003-07-01,149.0,20.1,16.2,25.2,59.6,1006.2,24.1,2.38,205.6,535.8
105,Gangneung,2003-08-01,242.3,22.4,18.4,27.6,72.5,1009.6,26.5,2.73,232.6,584.0
