STN_NM,TM,MAX_TA,AVG_PA,AVG_RHM,AVG_WS,SUM_SS,SUM_SR
Gangneung,2001-01-01,6.3,998.5,58.2,2.27,127.6,192.9
Gangneung,2001-02-01,10.6,1000.0,60.6,2.02,142.0,217.0
Gangneung,2001-03-01,11.9,1002.0,53.1,2.55,138.4,270.0
Gangneung,2001-04-01,17.3,1007.6,55.2,2.06,129.4,349.0
Gangneung,2001-05-01,23.9,1003.7,55.0,2.49,197.0,404.1
Gangneung,2001-06-01,27.7,1000.1,57.4,3.0,188.4,548.1
Gangneung,2001-07-01,27.5,1005.8,67.5,2.22,253.4,544.4
Gangneung,2001-08-01,24.8,1005.5,71.5,2.46,255.6,561.4
Gangneung,2001-09-01,21.9,1004.9,71.2,2.4,244.0,582.7
Gangneung,2001-10-01,17.8,997.3,71.1,2.0,220.0,435.7
Gangneung,2001-11-01,15.1,1002.4,72.1,2.26,201.0,296.4
Gangneung,2001-12-01,9.7,1001.4,71.3,2.41,190.0,295.6
Gangneung,2002-01-01,8.3,1005.0,67.9,1.92,112.0,188.5
Gangneung,2002-02-01,7.1,999.6,53.9,2.74,169.9,394.8
Gangneung,2002-03-01,11.4,1001.8,51.8,2.34,154.7,253.5
Gangneung,2002-04-01,16.3,1010.3,52.8,2.79,137.5,238.9
Gangneung,2002-05-01,21.8,999.3,57.5,2.55,176.1,397.6
Gangneung,2002-06-01,27.4,1003.3,54.5,2.46,207.0,507.1
Gangneung,2002-07-01,28.4,1008.7,66.5,1.91,197.8,654.9
Gangneung,2002-08-01,26.4,999.1,67.1,2.24,239.9,570.2
Gangneung,2002-09-01,25.3,1002.5,68.2,1.91,210.0,535.8
Gangneung,2002-10-01,15.9,1001.3,78.7,2.8,223.5,570.2
Gangneung,2002-11-01,11.9,999.1,76.0,2.49,242.9,512.6
Gangneung,2002-12-01,8.9,1008.4,72.1,2.14,96.3,300.2
Gangneung,2003-01-01,7.2,996.6,64.7,3.25,95.9,178.3
Gangneung,2003-02-01,14.0,1010.2,60.2,2.3,139.4,246.1
Gangneung,2003-03-01,12.8,1004.3,53.7,2.59,153.4,253.4
Gangneung,2003-04-01,18.1,1002.7,54.1,3.03,159.6,264.2
Gangneung,2003-05-01,24.9,1006.5,48.5,1.96,168.2,415.8
Gangneung,2003-06-01,26.2,1008.6,59.5,2.31,214.4,507.8
Gangneung,2003-07-01,25.2,1006.2,59.6,2.38,205.6,535.8
Gangneung,2003-08-01,27.6,1009.6,72.5,2.73,232.6,584.0
Gangneung,2003-09-01,24.6,1007.5,74.7,3.13,250.2,461.6
Gangneung,2003-10-01,16.1,1000.4,79.2,2.41,179.6,449.7
Gangneung,2003-11-01,14.8,1003.5,76.5,3.05,128.4,364.5
Gangneung,2003-12-01,6.8,1001.4,74.0,2.83,155.8,324.1
Gangneung,2004-01-01,6.6,1007.7,66.3,2.35,165.1,199.5
