STN_NM,TM,SUM_RN
Gangneung,2001-01-01,77.7
Gangneung,2001-02-01,63.0
Gangneung,2001-03-01,13.0
Gangneung,2001-04-01,107.2
Gangneung,2001-05-01,93.0
Gangneung,2001-06-01,124.6
Gangneung,2001-07-01,103.1
Gangneung,2001-08-01,152.1
Gangneung,2001-09-01,225.5
Gangneung,2001-10-01,220.1
Gangneung,2001-11-01,148.8
Gangneung,2001-12-01,129.7
Gangneung,2002-01-01,31.2
Gangneung,2002-02-01,18.6
Gangneung,2002-03-01,34.0
Gangneung,2002-04-01,26.7
Gangneung,2002-05-01,33.2
Gangneung,2002-06-01,91.6
Gangneung,2002-07-01,207.7
Gangneung,2002-08-01,257.1
Gangneung,2002-09-01,221.3
Gangneung,2002-10-01,228.8
Gangneung,2002-11-01,156.6
Gangneung,2002-12-01,84.6
Gangneung,2003-01-01,29.8
Gangneung,2003-02-01,96.5
Gangneung,2003-03-01,6.3
Gangneung,2003-04-01,44.5
Gangneung,2003-05-01,28.1
Gangneung,2003-06-01,116.3
Gangneung,2003-07-01,149.0
Gangneung,2003-08-01,242.3
Gangneung,2003-09-01,185.1
Gangneung,2003-10-01,194.4
Gangneung,2003-11-01,172.9
Gangneung,2003-12-01,135.2
Gangneung,2004-01-01,76.5
Gangneung,2004-02-01,3.4
Gangneung,2004-03-01,0.0
Gangneung,2004-04-01,50.6
Gangneung,2004-05-01,75.0
Gangneung,2004-06-01,143.5
Gangneung,2004-07-01,208.5
Gangneung,2004-08-01,184.2
Gangneung,2004-09-01,188.3
Gangneung,2004-10-01,145.1
Gangneung,2004-11-01,167.6
Gangneung,2004-12-01,98.4
Gangneung,2005-01-01,55.1
Gangneung,2005-02-01,26.3
Gangneung,2005-03-01,52.2
Gangneung,2005-04-01,13.2
Gangneung,2005-05-01,79.1
Gangneung,2005-06-01,99.0
Gangneung,2005-07-01,184.3
Gangneung,2005-08-01,191.2
Gangneung,2005-09-01,198.8
Gangneung,2005-10-01,222.7
Gangneung,2005-11-01,111.1
Gangneung,2005-12-01,184.4
Gangneung,2006-01-01,52.2
Gangneung,2006-02-01,51.2
Gangneung,2006-03-01,0.0
Gangneung,2006-04-01,13.6
Gangneung,2006-05-01,57.0
Gangneung,2006-06-01,109.5
Gangneung,2006-07-01,123.4
Gangneung,2006-08-01,184.8
Gangneung,2006-09-01,163.4
Gangneung,2006-10-01,240.6
Gangneung,2006-11-01,173.0
Gangneung,2006-12-01,153.5
Gangneung,2007-01-01,66.5
Gangneung,2007-02-01,28.9
Gangneung,2007-03-01,35.2
Gangneung,2007-04-01,67.3
Gangneung,2007-05-01,67.4
Gangneung,2007-06-01,158.2
Gangneung,2007-07-01,222.5
Gangneung,2007-08-01,195.0
Gangneung,2007-09-01,183.4
Gangneung,2007-10-01,167.2
Gangneung,2007-11-01,154.9
Gangneung,2007-12-01,97.7
Gangneung,2008-01-01,109.5
Gangneung,2008-02-01,96.5
Gangneung,2008-03-01,0.0
Gangneung,2008-04-01,0.0
Gangneung,2008-05-01,46.5
Gangneung,2008-06-01,110.9
Gangneung,2008-07-01,74.4
Gangneung,2008-08-01,213.5
Gangneung,2008-09-01,211.9
Gangneung,2008-10-01,244.5
Gangneung,2008-11-01,153.9
Gangneung,2008-12-01,147.4
Gangneung,2009-01-01,80.4
Gangneung,2009-02-01,32.2
Gangneung,2009-03-01,51.9
Gangneung,2009-04-01,0.0
Gangneung,2009-05-01,56.4
Gangneung,2009-06-01,119.1
Gangneung,2009-07-01,188.5
Gangneung,2009-08-01,185.0
Gangneung,2009-09-01,209.3
Gangneung,2009-10-01,225.0
Gangneung,2009-11-01,128.6
Gangneung,2009-12-01,118.6
Gangneung,2010-01-01,117.6
Gangneung,2010-02-01,11.7
Gangneung,2010-03-01,42.4
Gangneung,2010-04-01,66.3
Gangneung,2010-05-01,112.6
Gangneung,2010-06-01,126.8
Gangneung,2010-07-01,153.5
Gangneung,2010-08-01,193.7
Gangneung,2010-09-01,245.2
Gangneung,2010-10-01,111.0
Gangneung,2010-11-01,147.6
Gangneung,2010-12-01,127.3
Gangneung,2011-01-01,88.5
Gangneung,2011-02-01,84.2
Gangneung,2011-03-01,99.4
Gangneung,2011-04-01,0.0
Gangneung,2011-05-01,86.6
Gangneung,2011-06-01,136.1
Gangneung,2011-07-01,156.0
Gangneung,2011-08-01,257.7
Gangneung,2011-09-01,232.3
Gangneung,2011-10-01,209.5
Gangneung,2011-11-01,232.1
Gangneung,2011-12-01,74.0
Gangneung,2012-01-01,110.2
Gangneung,2012-02-01,45.4
Gangneung,2012-03-01,0.0
Gangneung,2012-04-01,55.3
Gangneung,2012-05-01,41.4
Gangneung,2012-06-01,96.8
Gangneung,2012-07-01,208.5
Gangneung,2012-08-01,203.0
Gangneung,2012-09-01,171.5
Gangneung,2012-10-01,190.4
Gangneung,2012-11-01,184.8
Gangneung,2012-12-01,149.3
Gangneung,2013-01-01,99.2
